t,x_cmd,x_act,y_cmd,y_act,z_cmd,z_act,vx_cmd,vx_act,vy_cmd,vy_act,vz_cmd,vz_act,roll_cmd,roll_act,pitch_cmd,pitch_act,yaw_cmd,yaw_act,roll_rate_act,pitch_rate_act,yaw_rate_act
0.0012402534484863281,5.0,-0.00046874998952262104,0.0,6.83593752910383e-05,-3.0,0.020546874031424522,0.5,0.0,-5.468750023283065e-05,0.0,-0.5,-0.0,-6.562500027939678e-06,0.00027169493841938674,0.06,0.31067678332328796,0.0,-3.1405019760131836,0.0,0.0,-0.0
0.006277799606323242,5.0,-0.00046874998952262104,0.0,6.83593752910383e-05,-3.0,0.020546874031424522,0.5,0.0,-5.468750023283065e-05,0.0,-0.5,-0.0,-6.568009844073269e-06,0.00027169493841938674,0.06005037546157837,0.31067678332328796,0.0,-3.1405019760131836,0.0,0.0,-0.0
0.011804342269897461,5.0,-0.00046874998952262104,0.0,6.83593752910383e-05,-3.0,0.020546874031424522,0.5,0.0,-5.468750023283065e-05,0.0,-0.5,-0.0,-6.574054500137289e-06,0.00033962391898967326,0.06010564088821411,0.3106081485748291,0.0,-3.140484571456909,-0.0049185664393007755,-0.0050156982615590096,-0.00010278797708451748
0.016572237014770508,5.0,-0.00046874998952262104,0.0,6.83593752910383e-05,-3.0,0.020546874031424522,0.5,0.0,-5.468750023283065e-05,0.0,-0.5,-0.0,-6.579269385036696e-06,0.00033962391898967326,0.06015331983566284,0.3106081485748291,0.0,-3.140484571456909,-0.0049185664393007755,-0.0050156982615590096,-0.00010278797708451748
0.021129131317138672,5.0,-0.00046874998952262104,0.0,6.83593752910383e-05,-3.0,0.02060546912252903,0.5,-0.001042531686834991,-5.468750023283065e-05,5.8757277656695805e-06,-0.5,0.0004073917807545513,-2.0184026099367434e-05,0.00034371609217487276,0.0626118994637171,0.3105979859828949,0.0,-3.1404778957366943,0.0014822145458310843,0.001397585729137063,0.00888681411743164
0.025777339935302734,5.0,-0.00046874998952262104,0.0,6.83593752910383e-05,-3.0,0.02060546912252903,0.5,-0.001042531686834991,-5.468750023283065e-05,5.8757277656695805e-06,-0.5,0.0004073917807545513,-7.2955065318555625e-06,0.00034371609217487276,0.06037066659951787,0.3105979859828949,0.0,-3.1404778957366943,0.0014822145458310843,0.001397585729137063,0.00888681411743164
0.03064751625061035,5.0,-0.0007031249697320163,0.0,6.83593752910383e-05,-3.0,0.02041015587747097,0.5,-0.030819077044725418,-5.468750023283065e-05,2.9683278626180254e-06,-0.5,-0.027884401381015778,-9.824302226815268e-07,0.0014229133957996964,0.12513614574516357,0.3077563941478729,0.0,-3.136948347091675,-0.005029156804084778,-0.3929477632045746,0.4198513925075531
0.035329341888427734,5.0,-0.0007031249697320163,0.0,6.83593752910383e-05,-3.0,0.02041015587747097,0.5,-0.030819077044725418,-5.468750023283065e-05,2.9683278626180254e-06,-0.5,-0.027884401381015778,-6.957633115140912e-06,0.0014229133957996964,0.06404525973967846,0.3077563941478729,0.0,-3.136948347091675,-0.005029156804084778,-0.3929477632045746,0.4198513925075531
0.04095292091369629,5.0,-0.0013671874767169356,0.0,6.83593752910383e-05,-3.0,0.019599609076976776,0.5,-0.07725609093904495,-5.468750023283065e-05,-5.025541395298205e-05,-0.5,-0.0989823117852211,9.407261159464628e-05,0.004269615281373262,0.15225817772793532,0.30090460181236267,0.0,-3.1299808025360107,-0.14886322617530823,-0.9442393183708191,0.9174903631210327
0.04539823532104492,5.0,-0.0013671874767169356,0.0,6.83593752910383e-05,-3.0,0.019599609076976776,0.5,-0.07725609093904495,-5.468750023283065e-05,-5.025541395298205e-05,-0.5,-0.0989823117852211,-5.716766213576215e-07,0.004269615281373262,0.06973394800825669,0.30090460181236267,0.0,-3.1299808025360107,-0.14886322617530823,-0.9442393183708191,0.9174903631210327
